Name,Tier,Type,Description,Impulses,Difficulty,Potential Adversaries,Feature 1 Name,Feature 1 Text,Feature 1 Question,Feature 2 Name,Feature 2 Text,Feature 2 Question,Feature 3 Name,Feature 3 Text,Feature 3 Question,Feature 4 Name,Feature 4 Text,Feature 4 Question,Feature 5 Name,Feature 5 Text,Feature 5 Question,Feature 6 Name,Feature 6 Text,Feature 6 Question
Abandoned Grove,1,Exploration,allow and fully reclaimed by nature.,"Draw in the curious, echo the past",11,"Beasts (Bear, Dire Wolf, Glass Snake), Grove Guardians (Minor Treant, Sylvan Soldier, Young Dryad)",Overgrown Battlefi eld - Passive,"There has been a battle here. A PC can make an Instinct Roll to identify evidence of that fight. On a success with Hope, learn all three pieces of information below. On a success with Fear, learn two. On a failure, a PC can mark a Stress to learn one and gain advantage on the next action roll to investigate this environment. A PC with an appropriate background or Experience can learn an additional detail and ask a follow-up question about the scene and get a truthful (if not always complete) answer. • Traces of a battle (broken weapons and branches, gouges in the ground) litter the ground. • A moss-covered tree trunk is actually the corpse of a treant. • Still-standing trees are twisted in strange ways, as if by powerful magic. Why did these groups come to blows? Why is the grove unused now?",,Barbed Vines - Action,Pick a point within the grove. All targets within Very Close range of that point must succeed on an Agility Reaction Roll or take 1d8+3 physical damage and become Restrained by barbed vines. Restrained lasts until they’re freed with a successful Finesse or Strength roll or by dealing at least 6 damage to the vines.,How many vines are there? Where do they grab you? Do they pull you down or lift you offthe ground?,You Are Not Welcome Here - Action,"A Young Dryad, two Sylvan Soldiers, and a number of Minor Treants equal to the number of PCs appear to confront the party for their intrusion.",What are the grove guardians concealing? What threat to the forest could the PCs confront to appease the Dryad?,Defi ler - Action,Spend a Fear to summon a Minor Chaos Elemental drawn to the echoes of violence and discord. They appear within Far range of a chosen PC and immediately take the spotlight.,What color does the grass turn as the elemental appears? How does the chaos warp insects and small wildlife within the grove?,,,,,,
Abandoned Mine,1,Traversal,A twisting warren of disused tunnels carved out of the bedrock by a doomed mining outfit.,"Poison the party with deadly gasses, rumble and collapse, split the party, turn them around",11,"Darkweave Spiders (Darkweave Crawler, Darkweave Spinner, Darkweave Swarmlings), Miner Ghosts (Poltergeist, Will-o’-the-Wisps)",Pitch Black - Passive,"There is no light, natural or otherwise, in these underground mining tunnels. Ask the PCs what they use for light or how they otherwise find their way in the dark. PCs without a reliable source of light make action and reaction rolls with disadvantage.","What fuel does the party’s light source use, and how long will it last? What unwanted attention does the light attract?",Labyrinth - Passive,"The party must complete a Progress Countdown (4) to find their way through the mines. Each time a PC rolls with Hope while finding their way through, they discover one of the curiosities below. • An unmined vein of precious metals or gemstones • Various mining tools, including a broken (but mendable) mine cart made of adamantine • Psychic echoes of the miners’ tragic end • The desiccated corpses of miners who lost their way in the tunnels • Tattered remnants of darkweave spider silk",What did miners previously extract here? Who in the party knows how to navigate below ground? What are the PCs most afraid might happen to them down here?,Into the Spider’s Web - Action,Spend a Fear to summon a Darkweave Queen inside her gossamer-strewn lair. She drops from the ceiling within Close range of a PC and immediately takes the spotlight.,How does the Darkweave Queen use her lair to her advantage? What remnants of her past meals can the party find here?,Impending Collapse - Reaction,"Countdown (2). The first time the PCs roll with Fear, describe how the ground subtly vibrates as rocks shift overhead and activate the countdown. It ticks down when a PC rolls with Fear. When it triggers, each PC must succeed on an Agility Reaction Roll or take 1d8+3 physical damage and become temporarily Restrained by the rubble.",What other signs of instability does the mine offer the party? What new dangers does the tunnel system’s new configuration expose the party to?,,,,,,
Alchemist’s Abandoned Workshop,1,Exploration,A lightning-powered laboratory built by a scientist searching for the secret to immortality.,"Break down the barrier between life and death, draw down lightning from the heavens, overclock the machinery",11,"Lab Leftovers (Construct, Minor Fire Elemental, Patchwork Zombie Hulk, Swarm of Rats)",Cabinet of Curiosities - Passive,"The workshop’s shelves, cupboards, and tables are cluttered with macabre bric-a-brac, including body parts in jars of formaldehyde and bloody surgical implements. Once per scene, a PC can make an Instinct Roll to look for something useful in the chaos.",What was the alchemist studying? What smell overwhelms you as you shuffle through their things?,Strange Machinery - Passive,"The workshop contains numerous pieces of bizarre technology and scientific instrumentation. A PC can make a Knowledge Roll to try to figure out how it works. On a success, they can get it running. On a failure, they break something and take 1d8+4 direct magic damage as they’re shocked by electricity and doused in caustic chemicals.",What do these machines do? What do these instruments measure?,It’s Alive! - Action,"Consequence Countdown (6). A thunderstorm gathers overhead, threatening to jolt the lightning rod assembly installed atop the workshop. Activate the countdown and narrate how the storm’s power increases each time it ticks down when a PC makes an action roll. When it triggers, lightning strikes the rod assembly and overloads the workshop machinery, which explodes after resurrecting one of the alchemist’s abandoned projects. Each target within Close range of the machinery must succeed on an Agility Reaction Roll or take 1d10 magic damage. Summon a Failed Experiment at a location within the workshop and gain a Fear for each PC within Very Close range of it.",What was the alchemist trying to achieve with this experiment? Where did they get the materials for it?,,,,,,,,,
Ambushed,1,Event,,"Overwhelm, scatter, surround",Special (see “Relative Strength”),Any,Relative Strength - Passive,The Diffi culty of this environment equals that of the adversary with the highest Diffi culty.,Who cues the ambush? What makes it clear they’re in charge?,Surprise! - Action,"The ambushers reveal themselves to the party, you gain 2 Fear, and the spotlight immediately shifts to one of the ambushing adversaries.",What do the ambushers want from the party? How do their tactics in the ambush reflect that?,,,,,,,,,,,,
Ambushers,1,Event,An ambush is set by the PCs to catch unsuspecting adversaries off -guard.,"Escape, group up, protect the most vulnerable",Special (see “Relative Strength”),Any,Relative Strength - Passive,The Diffi culty of this environment equals that of the adversary with the highest Diffi culty.,Which adversary is the least prepared? Which one is the most?,Where Did They Come From? - Reaction,"When a PC starts the ambush on unsuspecting adversaries, you lose 2 Fear and the first attack roll a PC makes has advantage.",What are the adversaries in the middle of doing when the ambush starts? How does this impact their approach to the fight?,,,,,,,,,,,,
Bustling Marketplace,1,Social,,"Buy low, and sell high, tempt and tantalize with wares from near and far",10,"Guards (Bladed Guard, Head Guard), Masked Thief, Merchant",Tip the Scales - Passive,"PCs can gain advantage on a Presence Roll by offering a handful of gold as part of the interaction. Will any coin be accepted, or only local currency?",How overt are the PCs in offering this bribe?,Unexpected Find - Action,"Reveal to the PCs that one of the merchants has something they want or need, such as food from their home, a rare book, magical components, a dubious treasure map, or a magical key.",What cost beyond gold will the merchant ask for in exchange for this rarity?,Sticky Fingers - Action,"A thief tries to steal something from a PC. The PC must succeed on an Instinct Roll to notice the thief or lose an item of the GM’s choice as the thief escapes to a Close distance. To retrieve the stolen item, the PCs must complete a Progress Countdown (6) to chase down the thief before the thief completes a Consequence Countdown (4) and escapes to their hideout.",What drove this person to pickpocketing? Where is the thief’s hideout and how has it avoided notice?,Crowd Closes In - Reaction,"When one of the PCs splits from the group, the crowds shift and cut them offfrom the party.",Where does the crowd’s movement carry them? How do they feel about being alone but surrounded?,,,,,,
Cliffside Ascent,1,Traversal,"A steep, rocky cliffside tall enough to make traversal dangerous.","Cast the unready down to a rocky doom, draw people in with promise of what lies at the top",12,"Construct, Deeproot Defender, Giant Scorpion, Glass Snake",The Climb - Passive,"Climbing up the cliffside uses a Progress Countdown (12). It ticks down according to the following criteria when the PCs make an action roll to climb: • Critical Success: Tick down 3 • Success with Hope: Tick down 2 • Success with Fear: Tick down 1 • Failure with Hope: No advancement • Failure with Fear: Tick up 1 When the countdown triggers, the party has made it to the top of the cliff .",What strange formations are the stones arranged in? What ominous warnings did previous adventurers leave?,Pitons Left Behind - Passive,"Previous climbers left behind large metal rods that climbers can use to aid their ascent. If a PC using the pitons fails an action roll to climb, they can mark a Stress instead of ticking the countdown up.",What do the shape and material of these pitons tell you about the previous climbers? How far apart are they from one another?,Fall - Action,"Spend a Fear to have a PC’s handhold fail, plummeting them toward the ground. If they aren’t saved on the next action, they hit the ground and tick up the countdown by 2. The PC takes 1d12 physical damage if the countdown is between 8 and 12, 2d12 between 4 and 7, and 3d12 at 3 or lower.",How can you tell many others have fallen here before? What lives in these walls that might try to scare adventurers into falling for an easy meal?,,,,,,,,,
Corrupted Swamp,1,Traversal,"A wretched stretch of slimy water, toxic creatures, and decay.","Corrupt, emphasize putrescence, reveal the twisted and unnatural, sicken",11,"Any Undead (Skeleton, Zombie, Spectral Guardian), Giant Rat, Green Ooze, Tangle Bramble",Swamp Sickness - Passive,"At the end of a long rest, each PC must succeed on a Strength Reaction Roll or gain a d4 Sickened Die, starting with the 1 value facing up. If a PC fails this roll and already has a Sickened Die, they increase the value by 1, to a maximum value of 4. A PC with a Sickened Die gains a penalty to their action rolls equal to its value. When a PC with a Sickened Die would clear a HP, they can decrease the value of their Sickened Die by 1 instead. When the die’s value would fall to 0, remove it.","Is the swamp teeming with life, filled with decay, or both? What force blighted this swamp, and what signs of its origins remain?",Soggy and Slogging It - Passive,"When a PC moves as part of an action, they can only move up to Very Close range. Action rolls made to move farther than Very Close range have disadvantage. Before rolling, a PC can mark a Stress to remove this disadvantage.","What creatures, living or otherwise, lurk beneath the water’s murky surface? Where or how do the PCs find relief from the stinking water?",Rotbloom - Action,Spend a Fear to dust an area within Far range in noxious pollen. Each target in that area must succeed on a Strength or Instinct Reaction Roll or take 1d6+3 magic damage and become Vulnerable until the end of the scene.,How can you tell the plants that emit this pollen are carnivorous? What nightmares or dreamscapes does the pollen’s scent conjure?,Dancing Lights - Action,"At the start of a rest, you can spend a Fear to have floating orbs enthrall the weary and lure a PC deeper into the swamp. A different PC can use a downtime move to make an action roll to search for them. On a success, both PCs return to camp and can choose downtime moves as normal. On a failure—or if no one searches for them—the lost PC returns hours later, covered in mud and worse, and can’t choose downtime moves until their next rest.",What does the lost PC see in the lights that draws them into the darkness? What other glimpses of surprising beauty do the PCs encounter here?,,,,,,
Cursed Graveyard,1,Exploration,"A sprawling cemetery filled with crumbling headstones, twisted trees possessed by the dead, and crypts overgrown with moss and ivy.","Bury them six feet deep, choke with fog, lure with promises of entombed treasure, unleash the restless dead",11,"Corrupted Spirits (Deeproot Defender, Phantom), Living Dead (Skeleton Warrior, Zombie Pack, Patchwork Zombie Hulk)",Room for One More - Passive,"If a PC marks their last HP while in the graveyard, they become a Specter instead of making a death move. While a Specter, a PC can communicate with the living but can’t interact with the physical world, and they must stay within Close range of their corpse or cross through the veil of death. This condition is cleared when the PC clears a HP.",What new information or experience does a PC gain from becoming a specter? How can the party reunite the PC’s spirit with their flesh? What happens if their ritual goes wrong?,Hallowed Ground - Passive,"At the center of the graveyard is a seemingly undisturbed chapel. On a successful Instinct Roll, a PC can discover this structure is sanctified against the cemetery’s denizens. While inside the chapel, the PCs have advantage on action rolls to fight or drive offspirits and undead.","Who sanctified this place, and what happened to them? What holy relics can be found here?",Misty Miasma - Action,"Spend a Fear to fill an area within Far range with a low-lying ectoplasmic fog that seeps up through the soggy earth. When a PC rolls with Fear while in the miasma, they must mark a Stress.",What horrors do the PCs see in the fog? What disorienting smell does the miasma emit?,The Dead Arise - Action,Spend a Fear to have undead hands burst forth from the ground beneath a PC. The target must succeed on an Agility or Presence Reaction Roll or mark a Stress and become temporarily Restrained as hands grasp them.,Who were these people in life? Why were they buried here? Why won’t they stay dead?,The Dead Don’t Die Easy - Reaction,"When an adversary would mark their last HP, roll a d6. On a result of 5 or 6, the adversary doesn’t mark it.",Who commanded this land to reject death? How do the dead come back different here?,,,
Grand Feast,1,Social,"A community-wide celebration featuring way too much drink, food, and fun.","Bring everyone together, celebrate a momentous occasion, encourage revelrous abandon",11,"Apprentice Assassin, Guard, Merchant, Petty Noble, Sellsword, Spy",Loose Lips & Fast Friends - Passive,Everyone is here to have a good time. PCs have advantage on Presence Rolls to socialize with other revelers.,What is everyone celebrating? Where’s the party? Who’s footing the bill?,The Evening’s Entertainment - Action,"The host of the feast kicks offthe entertainment portion of the evening. Each PC can make an action roll to initiate a performance, competition, or other lighthearted diversion. A PC who succeeds becomes an Honored Guest. Until the feast ends, an Honored Guest can claim a gift from the host, then clear the condition.",What does the host want to see or hear more than anything else? What can they offer the PCs in return?,“There’s Always That One…” - Action,"Spend a Fear to Trap a PC in conversation with the most unpleasant person at the party until the PC succeeds on an action roll to extricate themself from this social black hole. While Trapped, a PC can’t make action rolls except to try to clear this condition. When a Trapped PC fails an action roll, they must mark a Stress.",What makes this dud so unpleasant? What’s something the PC cares about that the dud constantly diminishes or dismisses? What boring or awful thing can the dud not shut up about?,Last Call - Reaction,"After a long night, the partygoers start filtering out. When the feast concludes, all PCs who participated in the festivities clear all Stress and gain a Hope. Additionally, each Honored Guest clears all HP and gains an additional Hope, then clears the condition. Each PC who overindulged must succeed on a Strength Reaction Roll or become Hungover until their next rest. While Hungover, a PC gains a -1 penalty to action rolls.",What crazy stories do the PCs share with one another as they leave the party? Who do the PCs see unexpectedly canoodling afterward?,,,,,,
