Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Acid Burrower,1,Solo,A horse-sized insect with digging claws and acidic blood.,"Burrow, drag away, feed, reposition",14,8/15,8,3,+3,Claws,Very Close,1d12+2 phy,Tremor Sense +2,Relentless (3),The Burrower can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Earth Eruption,"Mark a Stress to have the Burrower burst out of the ground. All creatures within Very Close range must succeed on an Agility Reaction Roll or be knocked over, making them Vulnerable until they next act.",Spit Acid,"Make an attack against all targets in front of the Burrower within Close range. Targets the Burrower succeeds against take 2d6 physical damage and must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP and you gain a Fear.",Acid Bath,"When the Burrower takes Severe damage, all creatures within Close range are bathed in their acidic blood, taking 1d10 physical damage. This splash covers the ground within Very Close range with blood, and all creatures other than the Burrower who move through it take 1d6 physical damage.",,,,,,
Ahuizotl,1,Skulk,A doglike ambush predator that has a clawed hand on the end of a long prehensile tail and drags victims into rivers to drown them.,"Ambush, drown, restrain",12,5/9,4,3,+2,Bite,Melee,1d6+2 phy,"Stealth +2, Swimming +2",Aquatic Attacker,"When the Ahuizotl attacks from the water, it has advantage on the attack and deals an extra 1d6 damage.",Tail Swat,"Mark a Stress to make an attack against a target within Very Close range. On a success, deal 1d8+2 physical damage.",Drag and Bag,"Spend a Fear to have the Ahuizotl grab a target within Close range with its tail, pull the target into Melee range, and temporarily Restrain them. The Ahuizotl has advantage on attacks against targets Restrained in this way.",,,,,,,,
Atototl,1,Standard,A majestic green water bird that has a ten-foot wingspan and is hunted for the fortune-telling stone inside their stomach.,"Avoid, escape, misdirect",12,8/12,5,3,+1,Talons,Melee,1d8+1 phy,"Flight +3, Jungles +3",Wind Lord,"While the Atototl is fl ying, attacks against it is made with disadvantage.",Stone of Omens,"Inside the Atototl is a stone that foretells good or ill fortune, depending on its color. A PC who searches the Atototl’s remains fi nds the stone and makes a fate roll. On an even result, the PC gains Hope equal to half the result, which they can distribute among the PCs however they wish. On an odd result, you gain Fear equal to half the result.",Archer’s Bane,"When a creature beyond Very Close range would deal damage to the Atototl with a weapon attack, you can spend a Fear to make an attack roll against them. On a success, whirling winds refl ect the attack and deal the attacker’s damage back to them.",,,,,,,,
Bear,1,Bruiser,A large bear with thick fur and powerful claws.,"Climb, defend territory, pummel, track",14,9/17,7,2,+1,Claws,Melee,1d8+3 phy,"Ambusher +3, Keen Senses +2",Overwhelming Force,Targets who mark HP from the Bear’s standard attack are knocked back to Very Close range.,Bite,"Mark a Stress to make an attack against a target within Melee range. On a success, deal 3d4+10 physical damage and the target is Restrained until they break free with a successful Strength Roll.",Momentum,"When the Bear makes a successful attack against a PC, you gain a Fear. Daggerheart SRD 97",,,,,,,,
Bugboar,1,Bruiser,A large bipedal creature that has a tusked snout and coarse fur.,"Ambush, bully, seek carnage and shiny things",13,8/15,5,3,+1,Spiked Mace,Very Close,1d8+6 phy,Traps +3,Surprise!,"If the Bugboar makes its fi rst attack in a scene before it’s marked HP or Stress, it has advantage on the attack and deals an extra 1d8 damage.",Brutal,"When the Bugboar makes a successful standard attack, you can mark a Stress to deal an extra 1d6 damage.",Warheart,"When a condition would be imposed on the Bugboar, you can spend a Fear to negate it.",,,,,,,,
Cave Ogre,1,Solo,A massive humanoid who sees all sapient life as food.,"Bite off heads, feast, rip limbs, stomp,",13,8/15,8,3,+1,Club,Very Close,1d10+2 phy,Throw +2,Ramp Up,"You must spend a Fear to spotlight the Ogre. While spotlighted, they can make their standard attack against all targets within range.",Bone Breaker,The Ogre’s attacks deal direct damage.,Hail of Boulders,"Mark a Stress to pick up heavy objects and throw them at all targets in front of the Ogre within Far range. Make an attack against these targets. Targets the Ogre succeeds against take 1d10+2 physical damage. If they succeed against more than one target, you gain a Fear.",Rampaging Fury,"When the Ogre marks 2 or more HP, they can rampage. Move the Ogre to a point within Close range and deal 2d6+3 direct physical damage to all targets in their path.",,,,,,
Common Ruffian,1,Standard,A local laborer or artisan pushed by circumstances to assail others.,"Do violence, seek security and survival",12,6/10,4,4,+0,Improvised Weapon,Melee,1d8 phy,Desperate +3,Group Attack,"Spend a Fear to choose a target and spotlight all Ruffi ans within Close range of them. The Ruffi ans move into Melee range of the target and make one shared attack roll. On a success, they deal 1d8 physical damage each. Combine this damage.",Survival Instinct,"When the Ruffi an marks half their HP, roll a d6. On a result of 4 or higher, the Ruffi an fl ees the scene. Otherwise, you gain a Fear. 98 Daggerheart SRD",,,,,,,,,,
Construct,1,Solo,"A roughly humanoid being of stone and steel, assembled and animated by magic.","Destroy environment, serve creator, smash",13,7/15,9,4,+4,Fist Slam,Melee,1d20 phy,Socialite +3,Relentless (2),The Construct can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Weak Structure,"When the Construct marks HP from physical damage, they must mark an additional HP.",Trample,Mark a Stress to make an attack against all targets in the Construct’s path when they move. Targets the Construct succeeds against take 1d8 physical damage.,Overload,"Before rolling damage for the Construct’s attack, you can mark a Stress to gain a +10 bonus to the damage roll. The Construct can then take the spotlight again.",Death Quake,"When the Construct marks their last HP, the magic powering them ruptures in an explosion of force. Make an attack with advantage against all targets within Very Close range. Targets the Construct succeeds against take 1d12+2 magic damage. COURTIER Tier  Social An ambitious and ostentatiously dressed socialite. Motives & Tactics: Discredit, gain favor, maneuver, scheme Diffi culty: 12 | Thresholds: 4/8 | HP: 3 | Stress: 4 ATK: −4 | Daggers: Melee | 1d4+2 phy Experience: Socialite +3 FEATURES",Mockery,"Mark a Stress to say something mocking and force a target within Close range to make a Presence Reaction Roll (14) to see if they can save face. On a failure, the target must mark 2 Stress and is Vulnerable until the scene ends.",Scapegoat,Spend a Fear and target a PC. The Courtier convinces a crowd or prominent individual that the target is the cause of their current confl ict or misfortune.
Darkweave Crawler,1,Minion,"A spider the size of a human head, woven out of shadow-silk.","Hide in shadow, strike the unwary, wait for an",10,None,1,1,–2,Bite,Melee,2 phy,Darkness +3,Minion (3),"The Crawler is defeated when it takes any damage. For every 3 damage a PC deals to the Crawler, the PC defeats an additional Minion within range the attack would succeed against.",Skin-Crawling,Spend a Fear to force all PCs within Melee range of the Crawler to mark a Stress.,Group Attack,"Spend a Fear to choose a target and spotlight all Darkweave Crawlers within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.",Darkweave Venom,"When the Crawler makes a successful attack, you can mark a Stress to Exhaust the target until they succeed on a Strength Roll (9). While Exhausted, the target must mark a Stress each time they make an action roll.",,,,,,
Darkweave Queen,1,Solo,A wagon-sized spider woven from shadow-silk by a long-forgotten god. Each of her many eyes bears the face of a diff erent victim.,"Ambush prey, climb the walls and ceiling,",14,8/15,9,4,+3,Spider Bite,Very Close,1d12+4 phy,"Giant-Sized +3, Hunter +3",Relentless (3),The Queen can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight her.,Terrifying,"When a PC fails an attack roll against the Queen, you gain a Fear.",Den Mother,"Once per scene, spend 2 Fear to summon up to two Darkweave adversaries (other than Darkweave Queens), who appear within Close range and immediately take the spotlight.",Quicker Than She Looks,Spend a Fear to move up to Far range and make a standard attack with advantage.,Darkfang Envenomation,"When the Queen succeeds on a standard attack, you can spend a Fear to make the target Vulnerable and Restrained until they succeed on a Strength Roll (12) or take a rest.",,,,
